impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-176713,A724819,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Cat,NO AGE,Female,Domestic Shorthair,Torbie,"Mar 02, 2025",Received on,17400 block of  SE 270TH PL,COVINGTON,WA,98042,COVINGTON,,,,Image Copyright HLP Inc. 2025,Received on: 2025-03-02<p/> Found Near: 17400 block of  SE 270TH PL<p/> Description: Torbie Female Domestic Shorthair Cat<p/> Age: NO AGE<p/>,
K25-175785,A723046,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2899230,LOST,,Cat,Under 1 year<p/>,Male,Maine Coon,Black,"Jan 20, 2025",Date Lost,14700 block of  NE 31ST STREET 4B,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2899230,Image Copyright HLP Inc. 2025,"Description: No white anywhere except for a few hairs whispeys left shoulder very vocal un neutered his coat is thick and short he's ver<p/>Age: Under 1 year<p/>Location Lost: 14715 NE 31st Street 4B, Bellevue WA  98007<p/>Lost Date: 2025-01-20<p/>",
K25-176055,A723670,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903474,In Public Home,,Dog,Unknown<p/>,Male,Pit Bull,Brown,"Feb 04, 2025",Date Found,Military  Rd S & S 133rd St,SeaTac,,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903474,Image Copyright HLP Inc. 2025,"Description: A youngish medium to large breed pittie mix. White and brown, mostly brown with white face, neck and chest, brown years, pink and brown nose. <p/>Age: Unknown<p/>Found Near: S Military Rd and S 133rd St, Seattle WA  98168<p/>Found Date: 2025-02-04<p/>",
K25-176484,A724410,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909526,In Public Home,,Rabbit,Unknown<p/>,Unknown,,Unknown,"Feb 20, 2025",Date Found,6400 block of  S 112th St,King County,,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909526,Image Copyright HLP Inc. 2025,"Description: White rabbit with blue eyes, very friendly.<p/>Age: Unknown<p/>Found Near: 6400 block of  S 112th St<p/>Found Date: 2025-02-20<p/>",
K25-176171,A723888,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905402,LOST,Nelson,Dog,Over 1 year<p/>,Male,Bloodhound,Brown,"Feb 09, 2025",Date Lost,Bear  Creek Rd NE & NE 133rd St,King County,,98077,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905402,Image Copyright HLP Inc. 2025,"Description: He is liver colored and has some Rand and white on his chest. Honey colored eyes. Fixed Male<p/>Age: Over 1 year<p/>Location Lost: Bear creek Road and NE 133rd Street, Woodinville WA  98077<p/>Lost Date: 2025-02-09<p/>",
K25-176238,A724023,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906493,In Public Home,,Cat,Unknown<p/>,Unknown,Abyssinian,Unknown,"Feb 12, 2025",Date Found,23800 block of  104TH AVE SE,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906493,Image Copyright HLP Inc. 2025,<p/>Age: Unknown<p/>Found Near: 23800 block of  104TH AVE SE<p/>Found Date: 2025-02-12<p/>,
K25-176228,A721007,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Bliss,Dog,2 YEARS 8 MONTHS,Spayed Female,Pit Bull / Mix,White / Brown,"Feb 11, 2025",Received on,21615 64TH AVE S,KENT,WA,98032,BLACK DIAMOND,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A721007,Image Copyright HLP Inc. 2025,"Received on: 2025-02-11<p/> Description: White / Brown Spayed Female Pit Bull / Mix Dog<p/> Age: 2 YEARS 8 MONTHS<p/> Adoption Fee: $50.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Bliss and I am available for adoption.<p/><p/>I was brought in by a good Samaritan on December 5th. I was adopted but brought back after I was having some trouble with other dog in the home. <p/><p/>My previous adopter said that I am very sweet but can sometimes get a little too worked up when I am playing. I would benefit from supervised play times with other dogs until I can learn more about proper socializing! <p/><p/>I weigh 54 lbs and am considered a ""large breed"" dog.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home! I will even tell you when i'm not getting enough love when I want it.<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. I love to play with Cheer and in the yard.<p/><p/>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>You can visit me at the Pet Adoption Center on weekdays from 12:00 pm to 5:00 pm, Saturdays and Sundays from 12:00 pm to 4:00 pm. <p/><p/>The Pet Adoption Center is located at 21615 64th Ave S, Kent, WA 98032.<p/><p/>Come and visit me today, I'd love to go home with you!<p/>",
K25-176390,A724245,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2908215,In Public Home,,Dog,Unknown<p/>,Unknown,Norfolk Terrier,Unknown,"Feb 17, 2025",Date Found,SE  180th St & 118th Ave SE,Renton,,98058,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2908215,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Found Near: SE 180th St and 118th AVE SE, Renton WA  98058<p/>Found Date: 2025-02-17<p/>",
K25-176191,A723910,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905487,LOST,Tofu,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"Feb 07, 2025",Date Lost,SE  240th St & 108th Ave SE,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905487,Image Copyright HLP Inc. 2025,"Description: Black cat<p/>Age: Over 1 year<p/>Location Lost: 240 SE and 108 SE, Kent WA  98030<p/>Lost Date: 2025-02-07<p/>",
K25-176670,A724759,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Female,Domestic Shorthair,Brn Tabby / White,"Feb 28, 2025",Received on,3500 block of  S 188TH ST,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724759,Image Copyright HLP Inc. 2025,Received on: 2025-02-28<p/> Found Near: 3500 block of  S 188TH ST<p/> Description: Brn Tabby / White Female Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-176217,A723978,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905941,In Public Home,,Dog,Unknown<p/>,Female,American Pit Bull Terrier,Unknown,"Feb 10, 2025",Date Found,98042 98042,,,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905941,Image Copyright HLP Inc. 2025,"Description: Female Pitbull mix I believe. She's very sweet but very scared.<p/>Age: Unknown<p/>Found Near: Se 261st St, Kent WA  98042<p/>Found Date: 2025-02-10<p/>",
K25-176627,A724669,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724669,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Dot,Cat,6 MONTHS,Spayed Female,Domestic Shorthair,Black,"Feb 26, 2025",Received on,200 block of  W KENT STATION ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724669,Image Copyright HLP Inc. 2025,"Received on: 2025-02-26<p/> Found Near: 200 block of  W KENT STATION ST<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-175978,A723420,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2901983,In Public Home,,Cat,Under 1 year<p/>,Unknown,Domestic Shorthair,Unknown,"Jan 27, 2025",Date Found,300 block of  S St SE,Auburn,,98002,AUBURN,47.30568,-122.206719,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2901983,Image Copyright HLP Inc. 2025,"Description: Orange and white, looks to be one year old or less, very friendly & affectionate<p/>Age: Under 1 year<p/>Found Near: 24th Ave S & S 140th St, Seattle WA  98168<p/>Found Date: 2025-01-27<p/>",
K25-176378,A724201,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907804,LOST,Kobe,Dog,Over 1 year<p/>,Male,Siberian Husky,White,"Feb 16, 2025",Date Lost,SE  168th St & 113th Ave SE,Renton,,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907804,Image Copyright HLP Inc. 2025,"Description: Kobe is a 5 year old siberian husky with white and grey coloring. He has heterochromia with his right eye being an icy blue and his left is a brown with blue on the top of his iris. He has a red collar but no tags and he is rather dirty from digging out from under the fence. <p/>Age: Over 1 year<p/>Location Lost: SE 168th St and SE 113th Ave, Renton WA  98055<p/>Lost Date: 2025-02-16<p/>",
K25-176302,A724091,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906888,In Public Home,,Cat,Under 1 year<p/>,Unknown,Domestic Shorthair,Unknown,"Feb 07, 2025",Date Found,GREEN  VALLEY RD SE + SE AUBURN BLACK DIAMOND RD,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906888,Image Copyright HLP Inc. 2025,"Description: 2 kittens about 12-16 weeks. not neutered, boy and girl. definitely once domesticated <p/>Age: Under 1 year<p/>Found Near: green valley rd se + se auburn black diamond rd, Auburn WA  98092<p/>Found Date: 2025-02-07<p/>",
K25-176231,A724000,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906238,In Public Home,,Cat,Under 1 year<p/>,Female,American Shorthair,Brown,"Feb 07, 2025",Date Found,S  216TH ST & 6 AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906238,Image Copyright HLP Inc. 2025,"Description: Under a year old. Tabby with white. Female. No microchip.<p/>Age: Under 1 year<p/>Found Near: S 216th st & 6 Ave S , Seattle WA  98198<p/>Found Date: 2025-02-07<p/>",
K25-176139,A723842,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2904830,LOST,Chocolate,Dog,Over 1 year<p/>,Female,Bulldog,Black,"Feb 07, 2025",Date Lost,216TH  & 30TH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2904830,Image Copyright HLP Inc. 2025,"Description: Black & white bully<p/>Age: Over 1 year<p/>Location Lost: 216th & 30th, Seattle WA  98198<p/>Lost Date: 2025-02-07<p/>",
K25-176170,A723887,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905401,LOST,Nelson,Dog,Over 1 year<p/>,Male,Bloodhound,Brown,"Feb 09, 2025",Date Lost,Bear  Creek Rd NE & NE 133rd St,King County,,98077,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905401,Image Copyright HLP Inc. 2025,"Description: He is liver colored and has some Rand and white on his chest. Honey colored eyes. Fixed Male<p/>Age: Over 1 year<p/>Location Lost: Bear creek Road and NE 133rd Street, Woodinville WA  98077<p/>Lost Date: 2025-02-09<p/>",
K25-176200,A723951,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A723951,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barn Cat Omarion,Barn Cat,3 YEARS,Neutered Male,Domestic Shorthair,Black / White,"Feb 10, 2025",Received on,,,,,,,,https://kingcounty.gov/~/media/depts/regional-animal-services/images/All-Images/adoption-pending.jpg,Image Copyright HLP Inc. 2025,"Received on: 2025-02-10<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Barn Cat<p/> Age: 3 YEARS<p/> Adoption Fee: $0<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Omarion and I am available for adoption.<p/><p/>I was brought in by a good samaritan on February 10, 2025.<p/><p/>I was a tad shy at first, but warmed up fairly quick while my time at RASKC! I may hiss at first, but I am truly just a sweet guy who loves afffection :)<p/><p/>I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/>",
K25-176530,A724490,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2910212,LOST,Xavi,Dog,Over 1 year<p/>,Male,Standard Poodle,Unknown,"Feb 23, 2025",Date Lost,3600 block of  93RD AVE SE,Mercer Island,,98040,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2910212,Image Copyright HLP Inc. 2025,"Description: Apricot color poodle retriever mix<p/>Age: Over 1 year<p/>Location Lost: 3666 93rd Ave SE, Mercer Island WA  98040<p/>Lost Date: 2025-02-23<p/>",
K25-176738,A723835,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A723835,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Baker,Dog,3 YEARS,Neutered Male,Pit Bull,Gray,"Mar 03, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A723835,Image Copyright HLP Inc. 2025,"Received on: 2025-03-03<p/> Description: Gray<p/>  Neutered Male Pit Bull Dog<p/> Age: 3 YEARS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Baker and I am available for adoption.<p/><p/><p/>I was brought in by an Animal Control Officer on 02/07/2025.<p/><p/>I weigh 65lbs lbs and am considered a large breed dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"", ""stay"", ""come"", ""down"" and ""shake"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am an independent dog who likes to do my own thing!<p/><p/>I am full of ENERGY and I love to play and jump! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>I think that a leash is a tug toy and I jump at it.  I do sit to be leashed when let out of my mrun and I like treats! <p/><p/>I would do best in a home with older children.<p/><p/>I will need to find a home where someone is available for me in these early days. It is important to be consistent with me and socialize me so I can have the best companionship with people and other animals. I require patience because everything is brand new so I will need some TLC while I learn it will help tremendously on a road to success! If you and your family are ready to fall in love my awesome self, please check me out!!<p/>",
K25-175788,A723057,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2899340,In Public Home,,Dog,Under 1 year<p/>,Male,Border Collie,Unknown,"Jan 23, 2025",Date Found,4300 block of  S OTHELLO ST,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2899340,Image Copyright HLP Inc. 2025,Description: Black and White with blue eyes<p/>Age: Under 1 year<p/>Found Near: 4300 block of  S OTHELLO ST<p/>Found Date: 2025-01-23<p/>,
K25-176483,A724404,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909515,In Public Home,,Dog,Over 1 year<p/>,Male,Labrador Retriever,Unknown,"Feb 19, 2025",Date Found,110TH  AVE E AND 42ND STREET CT E,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909515,Image Copyright HLP Inc. 2025,"Description: Tan neutered dog that appears to be a lab mix. He was Found with two leashes on, one attached to a collar and one choke type rope leash. He’s got some golden/white areas near his rear, head, and belly. Very sweet boy, knows some commands, and appears well taken care of. Seems like an indoor dog. <p/>Age: Over 1 year<p/>Found Near: 110th Ave E and 42nd street ct e, Puyallup WA  98372<p/>Found Date: 2025-02-19<p/>",
K25-176573,A724573,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724573,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Burt,Rabbit Sh,NO AGE,Male,Rabbit Sh,Silver / White,"Feb 24, 2025",Received on,17500 block of  SE 136TH ST,RENTON,WA,98059,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724573,Image Copyright HLP Inc. 2025,"Received on: 2025-02-24<p/> Found Near: 17500 block of  SE 136TH ST<p/> Description: Silver / White Male Rabbit Sh Rabbit Sh<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-175752,A722975,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2898864,In Public Home,?,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jan 21, 2025",Date Found,13800 block of  232ND AVE SE,,,98027,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2898864,Image Copyright HLP Inc. 2025,Description: Very young female. Golden with black stripes and four white feet. Front toes has gold mark on the top if it. Her chest is white. Her nose is white. The fur around her mouth is white and gold. Her eyes are a beautiful sage green.<p/>Age: Under 1 year<p/>Found Near: 13800 block of  232ND AVE SE<p/>Found Date: 2025-01-21<p/>,
K25-176455,A724355,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909036,LOST,Rocco And Jo,Dog,Under 1 year<p/>,Male,German Shepherd,Black,"Feb 19, 2025",Date Lost,8300 block of  WABASH AVE S,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909036,Image Copyright HLP Inc. 2025,"Description: Two German Shepard and Labrador dog mix ,all black with white patch on chest, belly and paw, they are from the same litter and look almost identical <p/>Age: Under 1 year<p/>Location Lost: 8338 wabash ave s Seattle, wa , Seattle WA  98118<p/>Lost Date: 2025-02-19<p/>",
K25-176652,A724719,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911749,LOST,Lola,Dog,Over 1 year<p/>,Female,French Bulldog,Black,"Feb 25, 2025",Date Lost,9400 block of  12TH AVE SW,Seattle,,98106,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911749,Image Copyright HLP Inc. 2025,"Description: French Bulldog, black with a white chest and belly. she has a pink color near her mouth. she's starting to age she gets tired fast but shes the sweetest girl shes approachable and she doesn't bite<p/>Age: Over 1 year<p/>Location Lost: 9426 12th ave sw seattle wa 98106, Seattle WA  98106<p/>Lost Date: 2025-02-25<p/>",
K25-176734,A724895,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2913058,LOST,Otis,Dog,Over 1 year<p/>,Male,Siberian Husky,Brown,"Mar 02, 2025",Date Lost,34800 block of  SE 268TH ST,,,98051,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2913058,Image Copyright HLP Inc. 2025,"Description: Red/Brown and white  Male Husky, Blue collar and chain training collar. 65lbs, fixed. has healing sore near right ear.<p/>Age: Over 1 year<p/>Location Lost: 34846 SE 268th ST, Ravensdale WA  98051<p/>Lost Date: 2025-03-02<p/>",
K25-176331,A724133,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907243,LOST,Buddy,Dog,Unknown<p/>,Male,Chihuahua - Smooth Coated,Unknown,"Feb 14, 2025",Date Lost,1900 block of  S 259th St,Des Moines,,98198,DES MOINES,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907243,Image Copyright HLP Inc. 2025,"Description: One black one eye white <p/>Age: Unknown<p/>Location Lost: 10925 southeast 259th Street, A104, Kent WA  98030<p/>Lost Date: 2025-02-14<p/>",
K25-176550,A724532,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2910408,In Public Home,,Dog,Unknown<p/>,Unknown,Standard Schnauzer,Unknown,"Feb 23, 2025",Date Found,243rd  Ave NE & NE 14th St,Sammamish,,98074,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2910408,Image Copyright HLP Inc. 2025,Description: Small/medium older appearing dog. Scruffy long hair and light brown/white colored. Perhaps a terrier/scottie dog mix running on the sidewalks. Ran away when we tried to approach gently <p/>Age: Unknown<p/>Found Near: 243rd  Ave NE & NE 14th St<p/>Found Date: 2025-02-23<p/>,
K25-176193,A723913,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905504,In Public Home,,Dog,Unknown<p/>,Unknown,Samoyed,White,"Feb 09, 2025",Date Found,216th  Ave SE & SE 28th St,Sammamish,,98075,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905504,Image Copyright HLP Inc. 2025,"Description: male neutered samoyed<p/>Age: Unknown<p/>Found Near: 216th ave SE and SE 28th st, Sammamish , Sammamish WA  98075<p/>Found Date: 2025-02-09<p/>",
K25-176657,A721637,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A721637,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rory,Rabbit Sh,1 YEAR 2 MONTHS,Neutered Male,Rabbit Sh,White,"Feb 26, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A721637,Image Copyright HLP Inc. 2025,"Received on: 2025-02-26<p/> Description: White<p/>  Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 1 YEAR 2 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi there! My name is Rory and I'm a rabbit who is looking for a forever home. <p/><p/>I was abandoned at RASKC on December 21, 2024. <p/><p/>I came in with Roy (A721638), we are a bonded pair and should be adopted together.  <p/><p/>I am looking for someone who can provide me with plenty of love and attention. <p/><p/>When it comes to feeding me, I will need the proper balance of pellets, timothy hay, fresh vegetables and access to a fresh water! <p/><p/>For housing, I will need appropriate room to roam, with separate spaces for a hidey house, litter box, play area and food and water. I am not meant to live in a cage all the time, so be sure you can provide me with time outside my enclosure at least once a day to stretch my legs, explore and exercise. Just be sure to bunny proof the space! Cleaning my cage and grooming are important for me too! <p/><p/>I am adaptable and love to go with the flow!<p/>",
K25-176595,A723393,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A723393,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Luna,Dog,6 YEARS 1 MONTH,Spayed Female,German Shepherd,Brown / Black,"Feb 25, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A723393,Image Copyright HLP Inc. 2025,"Received on: 2025-02-25<p/> Description: Brown / Black<p/>  Spayed Female German Shepherd Dog<p/> Age: 6 YEARS 1 MONTH<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Luna and I am available for adoption.<p/><p/>I was brought in by an Animal Control Officer on January 30, 2025. I went into a wonderful foster home for about a week, but I had a very high prey-drive which resulted in me chasing one of the cats.<p/><p/>I weigh 68.0 lbs and am considered a large breed dog.<p/><p/>I am a very smart dog! At the shelter I am practicing how to ""sit"", ""stay"", ""come"", ""down"" and ""shake"".<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy. I LOVE fetch and will bring the ball back :)<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/><p/>",
K25-176743,A724910,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2913246,In Public Home,,Cat,Under 1 year<p/>,Female,Domestic Shorthair,Unknown,"Mar 02, 2025",Date Found,14600 block of  SE 247TH ST,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2913246,Image Copyright HLP Inc. 2025,Description: Young female. Short tail.<p/>Age: Under 1 year<p/>Found Near: 14600 block of  SE 247TH ST<p/>Found Date: 2025-03-02<p/>,
K25-176755,A724968,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724968,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,12 WEEKS,Male,Belgian Malinois / Mix,Tan / Black,"Mar 04, 2025",Received on,14000 block of  SE PETROVITSKY RD,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724968,Image Copyright HLP Inc. 2025,"Received on: 2025-03-04<p/> Found Near: 14000 block of  SE PETROVITSKY RD<p/> Description: Tan / Black Male Belgian Malinois / Mix Dog<p/> Age: 12 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
